Id,Neighborhood,GarageType,GarageArea,GarageCars,HouseStyle,YearBuilt,Heating,PoolArea,SalePrice
41,NAmes,Attchd,440,2,1Story,1965,GasA,0,160000
42,Timber,Attchd,308,1,1Story,1959,GasA,0,170000
43,SawyerW,Attchd,504,2,SFoyer,1983,GasA,0,144000
44,CollgCr,Detchd,308,1,1Story,1975,GasA,0,130250
45,NAmes,Attchd,300,1,1Story,1959,GasA,0,141000
46,NridgHt,Attchd,576,2,1Story,2005,GasA,0,319900
47,Mitchel,Attchd,670,2,1.5Fin,2003,GasA,0,239686
48,Somerst,Attchd,826,3,1Story,2006,GasA,0,249700
49,OldTown,None,0,0,2Story,1920,GasA,0,113000
50,Sawyer,Attchd,386,1,1Story,1966,GasA,0,127000
51,Gilbert,Attchd,388,2,2Story,1997,GasA,0,177000
52,BrkSide,Detchd,528,2,1.5Fin,1934,GasA,0,114500
53,IDOTRR,CarPort,516,2,1Story,1963,GasA,0,110000
54,Veenker,Attchd,894,3,1Story,1981,GasA,0,385000
55,NAmes,Detchd,572,2,SLvl,1955,GasA,0,130000
56,NAmes,Attchd,576,2,1Story,1964,GasA,0,180500
57,Somerst,Attchd,480,2,2Story,1999,GasA,0,172500
58,CollgCr,Attchd,565,2,2Story,2004,GasA,0,196500
59,StoneBr,BuiltIn,641,3,2Story,2006,GasA,0,438780
60,CollgCr,Detchd,352,1,1Story,1972,GasA,0,124900
61,SawyerW,Detchd,576,2,1Story,2004,GasA,0,158000
62,IDOTRR,Detchd,288,1,2.5Unf,1920,GasA,0,101000
63,NridgHt,Attchd,484,2,1Story,2006,GasA,0,202500
64,OldTown,Detchd,480,2,2Story,1921,GasA,0,140000
65,CollgCr,Attchd,645,2,2Story,1997,GasA,0,219500
66,NridgHt,BuiltIn,852,3,2Story,2004,GasA,0,317000
67,NAmes,Attchd,576,2,1Story,1970,GasA,0,180000
68,CollgCr,Attchd,558,2,1Story,2003,GasA,0,226000
69,OldTown,Attchd,220,1,1Story,1945,GasA,0,80000
70,ClearCr,Attchd,667,2,1.5Fin,1953,GasW,0,225000
71,NAmes,Attchd,516,2,1Story,1973,GasA,0,244000
72,Mitchel,Detchd,360,2,1Story,1982,GasA,0,129500
73,Gilbert,Attchd,427,2,2Story,1998,GasA,0,185000
74,NAmes,Attchd,490,2,1Story,1954,GasA,0,144900
75,OldTown,Detchd,379,1,2Story,1915,GasA,0,107400
76,MeadowV,BuiltIn,297,1,SLvl,1973,GasA,0,91000
77,NAmes,Detchd,283,1,1Story,1956,GasA,0,135750
78,BrkSide,Detchd,240,1,1.5Fin,1948,GasA,0,127000
79,Sawyer,None,0,0,1Story,1968,GasA,0,136500
80,OldTown,Detchd,440,2,2Story,1910,GasA,0,110000
81,NAmes,Attchd,509,1,2Story,1968,GasA,0,193500
82,Mitchel,Attchd,405,2,1Story,1998,GasA,0,153500
83,Somerst,Attchd,758,3,1Story,2007,GasA,0,245000
84,NAmes,Detchd,461,2,1Story,1960,GasA,0,126500
85,Gilbert,BuiltIn,400,2,SLvl,1995,GasA,0,168500
86,NoRidge,Attchd,462,2,2Story,1991,GasA,0,260000
87,Gilbert,BuiltIn,400,2,2Story,2005,GasA,0,174000
88,Somerst,Detchd,528,2,2Story,2009,GasA,0,164500
89,IDOTRR,None,0,0,1.5Fin,1915,GasA,0,85000
90,CollgCr,None,0,0,1Story,1994,GasA,0,123600
91,NAmes,Detchd,420,2,1Story,1950,GasA,0,109900
92,NAmes,Attchd,480,2,1Story,1961,GasA,0,98600
93,Crawfor,Detchd,432,2,1Story,1921,GasA,0,163500
94,OldTown,Detchd,506,2,2.5Unf,1910,GasW,0,133900
95,CollgCr,Attchd,684,2,2Story,1997,GasA,0,204750
96,Gilbert,BuiltIn,420,2,2Story,1993,GasA,0,185000
97,CollgCr,Attchd,472,2,1Story,1999,GasA,0,214000
98,Edwards,Attchd,432,1,1Story,1965,GasA,0,94750
99,Edwards,Basment,366,1,1Story,1920,GasA,0,83000
100,NAmes,None,0,0,1Story,1959,GasA,0,128950
101,NWAmes,Attchd,480,2,1Story,1977,GasA,0,205000
102,SawyerW,Attchd,476,2,2Story,1985,GasA,0,178000
103,SawyerW,Attchd,410,2,1Story,1979,GasA,0,118964
104,CollgCr,Attchd,740,3,1Story,2009,GasA,0,198900
105,IDOTRR,Detchd,240,1,1.5Fin,1931,GasA,0,169500
106,Somerst,Attchd,648,2,2Story,2003,GasA,0,250000
107,OldTown,Detchd,273,1,1Story,1885,GasA,0,100000
108,OldTown,Detchd,250,1,1Story,1948,GasA,0,115000
109,IDOTRR,None,0,0,1.5Fin,1919,GasW,0,115000
110,NWAmes,Attchd,546,2,1Story,1977,GasA,0,190000
111,Edwards,Attchd,325,1,1.5Fin,1954,GasA,0,136900
112,Gilbert,BuiltIn,400,2,SLvl,2000,GasA,0,180000
113,CollgCr,BuiltIn,792,3,2Story,2007,GasA,0,383970
114,Crawfor,Basment,450,2,1Story,1953,GasA,0,217000
115,Crawfor,Detchd,180,1,2Story,1945,GasA,0,259500
116,Somerst,Detchd,440,2,2Story,1999,GasA,0,176000
117,Sawyer,Attchd,288,1,1Story,1962,GasA,0,139000
118,Edwards,Attchd,430,2,1Story,2006,GasA,0,155000
119,SawyerW,Attchd,594,3,2Story,1990,GasA,0,320000
120,CollgCr,Attchd,390,2,2Story,2005,GasA,0,163990
121,ClearCr,Attchd,540,2,SLvl,1969,GasA,0,180000
122,IDOTRR,Detchd,264,1,1.5Fin,1939,GasA,0,100000
123,NAmes,Attchd,288,1,1Story,1958,GasA,0,136000
124,SawyerW,Attchd,530,2,1Story,1993,GasA,0,153900
125,NWAmes,Attchd,435,2,1Story,1979,GasA,0,181000
126,IDOTRR,None,0,0,1.5Fin,1935,GasA,0,84500
127,NPkVill,Attchd,440,2,1Story,1976,GasA,0,128000
128,OldTown,None,0,0,1.5Unf,1930,GasA,0,87000
129,NAmes,Attchd,453,2,2Story,1966,GasA,0,155000
130,NAmes,2Types,750,2,1Story,1958,GasA,0,150000
131,NAmes,Attchd,487,2,2Story,1966,GasA,0,226000
132,Gilbert,BuiltIn,390,2,2Story,2000,GasA,0,244000
133,NAmes,Detchd,624,2,1Story,1959,GasA,0,150750
134,Timber,Attchd,471,2,1Story,2001,GasA,0,220000
135,Sawyer,Attchd,440,2,1Story,1968,GasA,0,180000
136,NWAmes,Attchd,530,2,1Story,1970,GasA,0,174000
137,NAmes,Attchd,318,1,1Story,1967,GasA,0,143000
138,Mitchel,2Types,766,3,1Story,1988,GasA,0,171000
139,CollgCr,Attchd,660,3,2Story,1999,GasA,0,230000
140,CollgCr,Attchd,470,2,2Story,1997,GasA,0,231500
141,NAmes,None,0,0,1Story,1971,GasA,0,115000
142,CollgCr,Attchd,660,2,1Story,2005,GasA,0,260000
143,NAmes,Detchd,720,2,1.5Fin,1952,GasA,0,166000
144,CollgCr,Attchd,577,2,1Story,1999,GasA,0,204000
145,Sawyer,Detchd,504,2,1Story,1963,GasA,0,125000
146,Edwards,Detchd,380,2,2Story,2004,GasA,0,130000
147,BrkSide,Detchd,180,1,1Story,1931,GasA,0,105000
148,Gilbert,BuiltIn,434,2,2Story,2001,GasA,0,222500
149,SawyerW,None,0,0,1Story,2004,GasA,0,141000
150,BrkSide,Detchd,240,1,1.5Fin,1936,GasA,0,115000
151,CollgCr,Attchd,440,2,1Story,1975,GasA,0,122000
152,NridgHt,Attchd,866,3,1Story,2007,GasA,0,372402
153,NWAmes,Attchd,495,2,2Story,1971,GasA,0,190000
154,ClearCr,Attchd,564,2,1Story,1960,GasA,0,235000
155,OldTown,Detchd,312,1,1Story,1923,GasA,0,125000
156,Edwards,None,0,0,1.5Fin,1924,Grav,0,79000
157,NAmes,Detchd,625,2,1Story,1950,GasA,0,109500
158,Timber,BuiltIn,680,3,2Story,2009,GasA,0,269500
159,Somerst,Attchd,678,2,2Story,2004,GasA,0,254900
160,Gilbert,Attchd,576,2,2Story,2005,GasA,0,320000
161,Veenker,Attchd,516,2,1Story,1984,GasA,0,162500
162,NridgHt,BuiltIn,726,3,2Story,2003,GasA,0,412500
163,NridgHt,Attchd,532,2,1Story,2005,GasA,0,220000
164,OldTown,None,0,0,1.5Unf,1956,GasA,0,103200
165,OldTown,Detchd,216,1,1Story,1926,GasA,0,152000
166,Edwards,None,0,0,1.5Fin,1940,GasA,0,127500
167,ClearCr,Attchd,303,1,1Story,1955,GasA,0,190000
168,NridgHt,Attchd,789,3,2Story,2007,GasA,0,325624
169,Gilbert,Attchd,440,2,2Story,2004,GasA,0,183500
170,Timber,Attchd,511,2,1Story,1981,GasA,0,228000
171,OldTown,Detchd,660,2,1.5Fin,1941,GasA,0,128500
172,NAmes,Attchd,528,2,1Story,1960,GasA,0,215000
173,StoneBr,Attchd,504,2,2Story,1987,GasA,0,239000
174,NAmes,Attchd,504,2,1Story,1961,GasA,0,163000
175,Timber,Attchd,616,2,1Story,1986,GasA,0,184000
176,Edwards,Attchd,576,2,1Story,1950,GasA,0,243000
177,ClearCr,Attchd,521,2,2Story,1988,GasA,0,211000
178,Sawyer,Attchd,451,2,1.5Fin,1958,GasA,0,172500
179,StoneBr,Attchd,1166,3,1Story,2008,GasA,0,501837
180,OldTown,Detchd,480,2,1Story,1923,GasA,0,100000
181,Somerst,Detchd,440,2,2Story,2000,GasA,0,177000
182,Crawfor,Detchd,216,1,2Story,1920,GasA,0,200100
183,Edwards,Attchd,252,1,1Story,1957,GasA,0,120000
184,OldTown,Detchd,484,2,1.5Fin,2003,GasA,0,200000
185,BrkSide,Attchd,576,2,1.5Fin,1908,GasA,0,127000
186,OldTown,Detchd,840,3,2.5Fin,1892,GasA,0,475000
187,Mitchel,Attchd,497,2,SLvl,1990,GasA,0,173000
188,OldTown,Detchd,180,1,1.5Fin,1916,GasA,0,135000
189,SawyerW,Detchd,528,2,SFoyer,1979,GasA,0,153337
190,StoneBr,Attchd,682,2,1Story,2001,GasA,0,286000
191,Crawfor,Detchd,440,2,2Story,1932,GasA,0,315000
192,NAmes,Attchd,484,2,2Story,1972,GasA,0,184000
193,CollgCr,Attchd,666,2,1Story,1999,GasA,0,192000
194,Edwards,Detchd,380,2,2Story,2004,GasA,0,130000
195,CollgCr,Detchd,352,1,1Story,1972,GasA,0,127000
196,NPkVill,Attchd,440,2,2Story,1976,GasA,0,148500
197,Somerst,Attchd,786,3,1Story,2007,GasA,0,311872
198,NAmes,Detchd,795,2,2Story,1918,GasA,512,235000
199,OldTown,None,0,0,2.5Fin,1912,GasA,0,104000
200,NridgHt,Attchd,856,3,1Story,2004,GasA,0,274900
201,Edwards,Attchd,440,2,1Story,2003,GasA,0,140000
202,Mitchel,Detchd,473,2,1Story,1977,GasA,0,171500
203,OldTown,Attchd,398,1,1.5Fin,1924,GasA,0,112000
204,CollgCr,Attchd,420,2,1Story,2004,GasA,0,149000
205,OldTown,Detchd,240,1,1.5Fin,1947,GasA,0,110000
206,Gilbert,Attchd,500,2,1Story,1990,GasA,0,180500
207,Sawyer,Attchd,349,1,1Story,1962,GasA,0,143900
208,NAmes,Attchd,312,1,1Story,1960,GasA,0,141000
209,SawyerW,Attchd,454,2,2Story,1988,GasA,0,277000
210,NAmes,Attchd,504,2,1Story,1964,GasA,0,145000
211,Edwards,None,0,0,1Story,1925,GasA,0,98000
212,Edwards,Attchd,460,2,1Story,2009,GasA,0,186000
213,Somerst,Attchd,644,2,2Story,2009,GasA,0,252678
214,CollgCr,Attchd,576,2,1Story,1995,GasA,0,156000
215,CollgCr,Attchd,299,1,2Story,1977,GasA,0,161750
216,NAmes,Attchd,447,1,1Story,1957,GasA,0,134450
217,CollgCr,Attchd,484,2,1Story,2004,GasA,0,210000
218,OldTown,Detchd,210,1,2Story,1925,GasA,0,107000
219,Crawfor,Attchd,431,2,1.5Fin,1939,GasA,0,311500
220,Blmngtn,Attchd,438,2,1Story,2005,GasA,0,167240
221,CollgCr,Attchd,675,2,1Story,2006,GasA,0,204900
222,Gilbert,BuiltIn,390,2,2Story,2002,GasA,0,200000
223,NWAmes,Attchd,434,2,2Story,1975,GasA,0,179900
224,NAmes,Detchd,576,2,1Story,1971,GasA,0,97000
225,NridgHt,Attchd,968,3,1Story,2003,GasA,0,386250
226,BrDale,Detchd,280,1,2Story,1971,GasA,0,112000
227,NoRidge,Attchd,721,3,2Story,1995,GasA,0,290000
228,BrDale,Detchd,280,1,2Story,1970,GasA,0,106000
229,Sawyer,Detchd,336,1,1Story,1967,GasA,0,125000
230,Blmngtn,Attchd,430,2,1Story,2005,GasA,0,192500
231,NAmes,Attchd,312,1,1Story,1959,GasA,0,148000
232,NoRidge,Attchd,810,3,2Story,1995,GasA,0,403000
233,BrDale,Attchd,288,1,2Story,1972,GasA,0,94500
234,CollgCr,Attchd,308,1,1Story,1976,GasA,0,128200
235,Gilbert,BuiltIn,440,2,2Story,2002,GasA,0,216500
236,BrDale,Detchd,264,1,2Story,1971,GasA,0,89500
237,CollgCr,Attchd,494,2,1Story,2004,GasA,0,185500
238,SawyerW,Attchd,457,2,2Story,1993,GasA,0,194500
239,NridgHt,Attchd,818,3,1Story,2007,GasA,0,318000
240,Edwards,Detchd,220,1,1.5Fin,1945,GasA,0,113000
241,Somerst,Attchd,750,2,1Story,2008,GasA,0,262500
242,OldTown,None,0,0,1Story,1945,GasA,0,110500
243,OldTown,Attchd,352,1,1.5Fin,1900,GasA,0,79000
244,SawyerW,Attchd,288,1,2Story,1980,GasA,0,120000
245,SawyerW,Attchd,463,2,2Story,1994,GasA,0,205000
246,NWAmes,Attchd,604,2,1Story,1988,GasA,0,241500
247,OldTown,Detchd,440,1,2Story,1910,GasA,0,137000
248,NAmes,Attchd,451,2,1Story,1954,GasA,0,140000
249,CollgCr,Attchd,500,2,2Story,2003,GasA,0,180000
250,ClearCr,Attchd,389,2,1.5Fin,1958,GasA,0,277000
251,BrkSide,None,0,0,1Story,1940,GasA,0,76500
252,Crawfor,Attchd,538,2,1Story,2006,GasA,0,235000
253,SawyerW,Attchd,520,2,2Story,2004,GasA,0,173000
254,NAmes,Attchd,309,1,SLvl,1964,GasA,0,158000
255,NAmes,Attchd,294,1,1Story,1957,GasA,0,145000
256,Gilbert,BuiltIn,429,2,2Story,1999,GasA,0,230000
257,Somerst,Attchd,673,2,2Story,2003,GasA,0,207500
258,CollgCr,Attchd,660,2,1Story,2006,GasA,0,220000
259,CollgCr,Attchd,564,2,2Story,2001,GasA,0,231500
260,OldTown,Detchd,308,1,1Story,1956,GasA,0,97000
261,NAmes,Attchd,884,2,SLvl,1962,GasA,0,176000
262,CollgCr,BuiltIn,868,3,2Story,2007,GasA,0,276000
263,Sawyer,Attchd,492,2,SLvl,1977,GasA,0,151000
264,OldTown,Detchd,484,2,1.5Fin,1929,GasA,0,130000
265,OldTown,Detchd,504,2,1Story,1925,GasA,0,73000
266,NWAmes,Attchd,576,2,1Story,1981,GasA,0,175500
267,Gilbert,Attchd,413,2,2Story,1997,GasA,0,185000
268,SWISU,Detchd,240,1,2.5Fin,1939,GasA,0,179500
269,IDOTRR,Detchd,924,1,1Story,1940,GasA,0,120500
270,Edwards,Attchd,504,1,1Story,1976,GasA,0,148000
271,Somerst,Attchd,1053,3,2Story,2006,GasA,0,266000
272,ClearCr,Attchd,439,2,1Story,1954,GasA,0,241500
273,NoRidge,Attchd,671,3,2Story,1999,GasA,0,290000
274,NAmes,Attchd,338,1,1Story,1958,GasA,0,139000
275,Mitchel,Attchd,264,1,1Story,1982,GasA,0,124500
276,BrkSide,Detchd,672,2,1.5Fin,1925,GasW,0,205000
277,Mitchel,Attchd,573,2,1Story,2003,GasA,0,201000
278,Gilbert,Detchd,400,2,1Story,1951,GasA,0,141000
279,NridgHt,Attchd,732,3,1Story,2006,GasA,0,415298
280,ClearCr,Attchd,505,2,2Story,1977,GasA,0,192000
281,SawyerW,Attchd,575,2,2Story,1989,GasA,0,228500
282,Somerst,Attchd,572,2,1Story,2006,GasA,0,185000
283,NridgHt,Attchd,626,2,1Story,2007,GasA,0,207500
284,Somerst,Attchd,898,3,1Story,2008,GasA,0,244600
285,SawyerW,Attchd,529,2,1Story,1992,GasA,0,179200
286,Somerst,Detchd,528,2,2Story,2006,GasA,0,164700
287,NAmes,Attchd,440,2,1.5Fin,1962,GasA,0,159000
288,NAmes,None,0,0,1Story,1971,GasA,0,88000
289,Sawyer,Detchd,280,1,1Story,1967,GasA,0,122000
290,BrkSide,Detchd,384,1,2Story,1915,GasA,0,153575
291,CollgCr,Attchd,685,2,2Story,2006,GasA,0,233230
292,SWISU,None,0,0,2Story,1912,GasA,0,135900
293,Edwards,Attchd,281,1,1.5Fin,1949,GasA,0,131000
294,NWAmes,Attchd,539,2,2Story,1977,GasA,0,235000
295,NAmes,Attchd,418,2,1Story,1953,GasA,0,167000
296,Mitchel,Detchd,588,2,SLvl,1984,GasA,0,142500
297,IDOTRR,Attchd,282,1,1.5Fin,1950,GasA,0,152000
298,Somerst,Detchd,576,2,2Story,1997,GasA,0,239000
299,NWAmes,Attchd,539,2,2Story,1968,GasA,0,175000
300,Crawfor,Attchd,300,1,1Story,1950,GasA,0,158500
301,Crawfor,Attchd,375,1,1Story,1953,GasA,0,157000
302,CollgCr,BuiltIn,683,2,2Story,1998,GasA,0,267000
303,CollgCr,Attchd,843,3,1Story,2001,GasA,0,205000
304,CollgCr,Attchd,552,2,1Story,1972,GasA,0,149900
305,OldTown,Attchd,870,3,2.5Fin,1880,GasA,0,295000
306,CollgCr,Attchd,888,3,1Story,2004,GasA,0,305900
307,SawyerW,Attchd,746,3,2Story,1990,GasA,0,225000
308,IDOTRR,None,0,0,1.5Fin,1920,GasA,0,89500
309,Edwards,Detchd,539,2,1Story,1940,GasA,0,82500
310,NridgHt,Attchd,708,3,1Story,2003,GasA,0,360000
311,Gilbert,Attchd,420,2,2Story,1993,GasA,0,165600
312,NAmes,Detchd,240,1,1Story,1948,GasA,0,132000
313,OldTown,Detchd,410,2,1.5Fin,1939,GasA,0,119900
314,Timber,Attchd,513,2,1Story,1965,GasW,0,375000
315,OldTown,Detchd,546,2,2Story,1925,GasA,0,178000
316,Gilbert,Attchd,432,2,2Story,2004,GasA,0,188500
317,NWAmes,Attchd,484,2,2Story,1980,GasA,0,260000
318,Somerst,Attchd,1025,3,2Story,2006,GasA,0,270000
319,NoRidge,Attchd,656,3,2Story,1993,GasA,0,260000
320,NWAmes,Attchd,588,2,SLvl,1980,GasA,0,187500
321,NridgHt,Attchd,840,3,2Story,2006,GasA,0,342643
322,NridgHt,BuiltIn,872,3,2Story,2004,GasA,0,354000
323,SawyerW,Attchd,576,2,2Story,1986,GasA,0,301000
324,OldTown,Attchd,220,1,1Story,1955,GasA,0,126175
325,NAmes,BuiltIn,564,2,SLvl,1967,GasA,0,242000
326,IDOTRR,Detchd,360,2,1.5Unf,1941,GasA,0,87000
327,Veenker,Attchd,473,2,1Story,1993,GasA,0,324000
328,NAmes,Attchd,292,1,1Story,1960,GasA,0,145250
329,BrkSide,Detchd,441,2,2.5Unf,1916,GasA,0,214500
330,IDOTRR,Detchd,189,1,2Story,1920,GasA,0,78000
331,NAmes,Detchd,352,1,1Story,1964,GasA,0,119000
332,NAmes,Attchd,308,1,1Story,1958,GasA,0,139000
333,NridgHt,Attchd,880,3,1Story,2003,GasA,0,284000
334,NridgHt,Attchd,484,2,1Story,2004,GasA,0,207000
335,Gilbert,Attchd,472,2,2Story,1998,GasA,0,192000
336,Timber,Attchd,529,2,1.5Fin,1965,GasA,0,228950
337,StoneBr,Attchd,676,3,1Story,2005,GasA,0,377426
338,CollgCr,Attchd,532,2,1Story,2002,GasA,0,214000
339,NWAmes,Attchd,440,2,1Story,1984,GasA,0,202500
340,NAmes,Attchd,297,1,1Story,1958,GasA,0,155000
341,Timber,Attchd,431,2,2Story,2002,GasA,0,202900
342,SawyerW,CarPort,294,1,1Story,1950,GasA,0,82000
343,NAmes,Detchd,400,2,1Story,1949,Wall,0,87500
344,NridgHt,Attchd,564,2,1Story,2005,GasA,0,266000
345,MeadowV,Attchd,336,1,2Story,1976,GasA,0,85000
346,BrkSide,Detchd,312,1,1.5Fin,1939,GasA,0,140200
347,NAmes,Attchd,301,1,1Story,1960,GasA,0,151500
348,NAmes,Attchd,498,2,1Story,1960,GasA,0,157500
349,NridgHt,BuiltIn,474,2,2Story,2003,GasA,0,154000
350,NridgHt,Attchd,706,3,2Story,2005,GasA,0,437154
351,NridgHt,Attchd,617,2,1Story,2007,GasA,0,318061
352,ClearCr,Attchd,445,2,1Story,1986,GasA,0,190000
353,Edwards,Detchd,200,1,1.5Fin,1941,GasA,0,95000
354,OldTown,Detchd,484,2,1Story,1928,GasA,0,105900
355,SWISU,Attchd,240,1,1.5Fin,1940,GasA,0,140000
356,CollgCr,Attchd,521,2,1Story,1995,GasA,0,177500
357,Gilbert,Attchd,400,2,1Story,1992,GasA,0,173000
358,MeadowV,Attchd,528,2,1Story,1976,GasA,0,134000
359,ClearCr,BuiltIn,288,1,SLvl,1958,GasA,0,130000
360,NoRidge,Attchd,592,2,2Story,1998,GasA,0,280000
361,Mitchel,Attchd,470,2,SFoyer,1978,GasA,0,156000
362,BrkSide,Detchd,240,1,1.5Fin,1940,GasA,0,145000
363,Edwards,BuiltIn,672,2,SFoyer,2003,GasA,0,198500
364,BrDale,Detchd,264,1,2Story,1972,GasA,0,118000
365,NWAmes,Attchd,566,2,2Story,1976,GasA,0,190000
366,IDOTRR,Detchd,468,1,2Story,1920,GasA,0,147000
367,NAmes,Attchd,514,2,1Story,1963,GasA,0,159000
368,NAmes,Basment,296,1,SLvl,1962,GasA,0,165000
369,NAmes,Attchd,244,1,1Story,1954,GasA,0,132000
370,NAmes,Detchd,576,2,1Story,1959,GasA,0,162000
371,Gilbert,Attchd,460,2,2Story,2000,GasA,0,172400
372,ClearCr,Detchd,680,2,1.5Fin,1959,GasA,0,134432
373,SawyerW,Attchd,264,1,1Story,1984,GasA,0,125000
374,NAmes,Attchd,270,1,1Story,1953,GasA,0,123000
375,CollgCr,BuiltIn,434,2,2Story,2003,GasA,0,219500
376,Edwards,None,0,0,1Story,1922,GasA,0,61000
377,CollgCr,Detchd,576,2,SFoyer,1996,GasA,0,148000
378,Somerst,Attchd,610,2,2Story,2004,GasA,0,340000
379,StoneBr,Attchd,834,3,1Story,2010,GasA,0,394432
380,Gilbert,Attchd,463,2,2Story,2000,GasA,0,179000
381,SWISU,Detchd,308,1,1.5Fin,1924,GasA,0,127000
382,Somerst,Attchd,572,2,1Story,2006,GasA,0,187750
383,CollgCr,Attchd,639,2,2Story,2006,GasA,0,213500
384,SawyerW,Detchd,360,2,1.5Unf,1928,GasA,0,76000
385,ClearCr,Attchd,501,2,2Story,1992,GasA,0,240000
386,Blmngtn,Attchd,430,2,1Story,2004,GasA,0,192000
387,Edwards,None,0,0,1.5Fin,1910,GasA,0,81000
388,Edwards,Detchd,352,1,SLvl,1976,GasA,0,125000
389,CollgCr,Attchd,577,2,1Story,1999,GasA,0,191000
390,NridgHt,BuiltIn,846,3,2Story,2007,GasA,0,426000
391,Edwards,Detchd,384,1,1.5Fin,1900,GasA,0,119000
392,Mitchel,BuiltIn,560,2,2Story,2001,GasA,0,215000
393,NAmes,Attchd,294,1,1Story,1959,GasA,0,106500
394,BrkSide,None,0,0,1Story,1941,GasA,0,100000
395,OldTown,Detchd,240,1,1.5Fin,1940,GasA,0,109000
396,Edwards,Attchd,596,1,1Story,1956,GasA,0,129000
397,CollgCr,Detchd,600,2,1Story,1972,GasA,0,123000
398,NAmes,Attchd,264,1,2Story,1962,GasA,0,169500
399,IDOTRR,Detchd,338,1,1Story,1920,GasA,0,67000
400,Somerst,Attchd,438,2,2Story,2006,GasA,0,241000
401,Veenker,Attchd,500,2,1Story,1996,GasA,0,245500
402,CollgCr,Attchd,400,2,1Story,2005,GasA,0,164990
403,Sawyer,Detchd,240,1,1Story,1940,GasA,0,108000
404,NoRidge,BuiltIn,420,2,2Story,1998,GasA,0,258000
405,Gilbert,BuiltIn,373,2,2Story,1995,GasA,0,168000
406,Sawyer,Attchd,490,2,1Story,1976,GasA,0,150000
407,SWISU,Detchd,240,1,1.5Fin,1936,GasA,0,115000
408,Crawfor,Attchd,308,1,2Story,1915,GasA,0,177000
409,NridgHt,Attchd,947,3,2Story,2006,GasA,0,280000
410,Somerst,Attchd,836,3,2Story,2007,GasA,0,339750
411,Edwards,Attchd,350,1,1Story,1958,GasA,0,60000
412,Gilbert,Attchd,572,2,1Story,1955,GasA,0,145000
413,Somerst,Attchd,484,2,1Story,2009,GasA,0,222000
414,OldTown,Detchd,360,2,1Story,1927,GasA,0,115000
415,SawyerW,Attchd,678,3,2Story,1993,GasA,0,228000
416,Gilbert,Attchd,396,2,1Story,2007,GasA,0,181134
417,Sawyer,Attchd,440,2,2Story,1978,GasA,0,149500
418,Crawfor,Detchd,864,3,2Story,1918,GasW,0,239000
419,Edwards,Detchd,240,1,1.5Fin,1940,GasA,0,126000
